iter	RMSE
0	2.550169741
1	2.451111769
2	2.356584659
3	2.251309219
4	2.146793661
5	2.065482967
6	1.979433704
7	1.907114365
8	1.833096069
9	1.771409314
10	1.746105258
11	1.685187878
12	1.631258132
13	1.568743843
14	1.511829444
15	1.456618974
16	1.404991486
17	1.35448389
18	1.313379311
19	1.275955769
20	1.239283903
21	1.204181475
22	1.168419552
23	1.127352667
24	1.102056574
25	1.069424983
26	1.042046233
27	1.01236832
28	0.9847872451
29	0.9541084708
30	0.9274218594
31	0.9024958702
32	0.8785533264
33	0.8587735611
34	0.8346793606
35	0.8109533953
36	0.7896306109
37	0.7666891289
38	0.754982306
39	0.7331665509
40	0.7085578273
41	0.6907690004
42	0.6772042745
43	0.6613171234
44	0.6498556519
45	0.6384475549
46	0.6226986281
47	0.609691487
48	0.5955996834
49	0.5829273451
50	0.5710296822
51	0.5638910337
52	0.5490714207
53	0.540497798
54	0.5281163949
55	0.521826292
56	0.5113555454
57	0.4988773556
58	0.490914721
59	0.4807082586
60	0.4682869948
61	0.4610325693
62	0.4543572324
63	0.4486547131
64	0.4383631838
65	0.4294546088
66	0.4226219838
67	0.4148728796
68	0.4100342753
69	0.4052201983
70	0.3974284182
71	0.3908329639
72	0.3814638563
73	0.3759484934
74	0.3690889395
75	0.3640283326
76	0.3598010421
77	0.3543250189
78	0.3470422879
79	0.3423369548
80	0.3364046996
81	0.3316447871
82	0.3245787649
83	0.3174519194
84	0.3136775589
85	0.3099161493
86	0.3059791459
87	0.3025218491
88	0.2937160592
89	0.2905187765
90	0.2874458298
91	0.2803293399
92	0.2774596923
93	0.270750901
94	0.2660188318
95	0.2606110278
96	0.2565489769
97	0.2522219496
98	0.24751469
99	0.2434888431
100	0.2390333619
101	0.2356544509
102	0.2322168176
103	0.2283927636
104	0.2224128428
105	0.2192960641
106	0.2159570818
107	0.2109967767
108	0.2070190812
109	0.2017749213
110	0.1987758752
111	0.1940878962
112	0.1891267154
113	0.1840135717
114	0.1791581889
115	0.1747166521
116	0.1708452639
117	0.1686438678
118	0.1643124883
119	0.1602361986
120	0.1569898848
121	0.152699178
122	0.1499957315
123	0.1469004959
124	0.1434055361
125	0.1410126812
126	0.1377110157
127	0.1345671874
128	0.1324442238
129	0.1294924423
130	0.1264550223
131	0.123542643
132	0.1212277717
133	0.1185660464
134	0.1159713792
135	0.1131697174
136	0.1106964251
137	0.1081971963
138	0.1057374347
139	0.1035851102
140	0.1014093862
141	0.09910178183
142	0.09707668598
143	0.09515544431
144	0.09351026017
145	0.0925186449
146	0.08959595374
147	0.08764217478
148	0.08602320142
149	0.08552160131
150	0.08288870676
151	0.08040860937
152	0.07879081283
153	0.07726521035
154	0.07505701975
155	0.0735514318
156	0.07214412571
157	0.07085867064
158	0.06890701987
159	0.06772354687
160	0.06672801607
161	0.06626890102
162	0.06449355394
163	0.06357514167
164	0.06257706772
165	0.06171886621
166	0.0613445584
167	0.05978141074
168	0.05889580367
169	0.05757632422
170	0.05631821362
171	0.0551188396
172	0.05389803441
173	0.05273946735
174	0.05163485812
175	0.0505787694
176	0.0496966649
177	0.04858734934
178	0.04748265684
179	0.04674883868
180	0.0461303849
181	0.04542295144
182	0.04477130969
183	0.0444515658
184	0.04414492118
185	0.0430592499
186	0.04277390336
187	0.04172116942
188	0.04094955788
189	0.04054229951
190	0.0402741721
191	0.04001863943
192	0.0392316112
193	0.03828753195
194	0.03773944555
195	0.03721684848
196	0.03669485507
197	0.03614993451
198	0.0352965205
199	0.03446107464
