iter	Passed	Remaining
0	1	217
1	2	217
2	2	185
3	3	178
4	4	174
5	5	179
6	6	180
7	7	178
8	8	176
9	9	174
10	9	161
11	10	161
12	11	163
13	12	161
14	12	158
15	13	159
16	14	157
17	15	154
18	16	155
19	17	155
20	18	155
21	19	155
22	19	150
23	20	151
24	21	151
25	22	149
26	22	145
27	23	145
28	24	146
29	25	147
30	27	147
31	28	147
32	29	148
33	30	148
34	31	148
35	32	146
36	33	146
37	34	146
38	35	144
39	36	144
40	37	144
41	38	144
42	39	143
43	40	143
44	41	142
45	42	141
46	43	140
47	44	140
48	45	138
49	46	138
50	47	137
51	47	136
52	49	136
53	49	134
54	50	133
55	51	133
56	53	133
57	53	131
58	54	129
59	55	128
60	56	127
61	56	126
62	57	125
63	58	124
64	59	123
65	60	123
66	61	122
67	62	121
68	63	120
69	64	119
70	65	118
71	66	117
72	67	117
73	68	116
74	69	115
75	70	115
76	71	114
77	72	113
78	73	112
79	74	112
80	75	111
81	76	110
82	77	109
83	78	108
84	79	108
85	80	107
86	81	106
87	82	105
88	83	104
89	85	103
90	86	103
91	87	102
92	88	101
93	89	100
94	90	100
95	91	99
96	92	98
97	93	97
98	94	96
99	95	95
100	96	94
101	97	94
102	98	93
103	99	92
104	100	91
105	101	90
106	103	89
107	104	88
108	105	87
109	106	87
110	107	86
111	108	85
112	109	84
113	110	83
114	111	82
115	112	81
116	113	80
117	114	79
118	116	78
119	117	78
120	118	77
121	119	76
122	120	75
123	121	74
124	122	73
125	122	72
126	123	71
127	124	70
128	125	69
129	126	68
130	127	67
131	128	66
132	129	65
133	130	64
134	131	63
135	132	62
136	133	61
137	135	60
138	136	59
139	136	58
140	137	57
141	138	56
142	139	55
143	140	54
144	141	53
145	143	52
146	144	51
147	145	51
148	146	50
149	147	49
150	148	48
151	149	47
152	150	46
153	151	45
154	152	44
155	153	43
156	154	42
157	155	41
158	156	40
159	157	39
160	158	38
161	159	37
162	160	36
163	161	35
164	162	34
165	163	33
166	164	32
167	165	31
168	166	30
169	167	29
170	168	28
171	169	27
172	170	26
173	171	25
174	173	24
175	174	23
176	175	22
177	176	21
178	177	20
179	178	19
180	179	18
181	180	17
182	181	16
183	182	15
184	183	14
185	184	13
186	185	12
187	186	11
188	187	10
189	188	9
190	189	8
191	191	7
192	192	6
193	193	5
194	194	4
195	195	3
196	196	2
197	197	1
198	198	0
199	199	0
